Trend_x,Trend_y,Residuals_x,Residuals_y
226.,100.8521588258,226.,7.5978411742
227.,100.2516618723,227.,8.1983381277
228.,99.6629300777,228.,8.7870699223
229.,99.0211538200,229.,9.81884618
230.,98.5378409477,230.,10.3021590523
231.,97.8913776076,231.,2.1786223924
232.,97.3280837618,232.,-1.4880837618
233.,96.7159133842,233.,-1.0759133842
234.,96.0588126571,234.,-1.7788126571
235.,95.3719896260,235.,-5.4919896260
236.,94.6887148067,236.,-7.3987148067
237.,94.0580121860,237.,-4.1780121860
238.,93.4759072686,238.,-5.0959072686
239.,92.9251043059,239.,-4.5451043059
240.,92.5266137398,240.,-4.1466137398
241.,92.1564293642,241.,-3.7664293642
242.,91.6671650547,242.,-2.3171650547
243.,91.0737996331,243.,-1.7237996331
244.,90.4687157127,244.,-1.1187157127
245.,90.1513350246,245.,-0.9213350246
246.,89.8921357222,246.,-0.6621357222
247.,89.8205230017,247.,0.1294769983
248.,89.8125724252,248.,2.8574275748
249.,89.8678701669,249.,0.0821298331
250.,90.1365602845,250.,0.0434397155
251.,90.3200233301,251.,-0.6500233301
252.,90.6989775533,252.,-1.3789775533
253.,91.1192994179,253.,-1.7992994179
254.,91.6280973521,254.,-0.6880973521
255.,92.2291295386,255.,-0.9391295386
256.,92.9353498380,256.,-0.9653498380
257.,93.4650945661,257.,-1.4950945661
258.,94.0068406985,258.,-2.0368406985
259.,94.5059566468,259.,2.2940433532
260.,94.9845837958,260.,2.8954162042
261.,95.3295897982,261.,4.4004102018
262.,95.5798083762,262.,2.3001916238
263.,95.8879573716,263.,0.6020426284
264.,96.0975623457,264.,0.3924376543
265.,96.2805463317,265.,0.5394536683
266.,96.4474121724,266.,1.5325878276
267.,96.6339040522,267.,3.5960959478
268.,96.8233531903,268.,3.4066468097
269.,96.9885888695,269.,4.7514111305
270.,97.1461251670,270.,2.373874833
271.,97.2685866045,271.,2.2514133955
272.,97.3353222044,272.,-1.3953222044
273.,97.3052003443,273.,-2.0352003443
274.,97.4437305488,274.,-2.1737305488
275.,97.4808231217,275.,-3.0308231217
276.,97.4948796122,276.,-2.4448796122
277.,97.4940195701,277.,-2.4440195701
278.,97.3517993613,278.,-0.7917993613
279.,97.2543579696,279.,-0.5243579696
280.,97.1654981993,280.,0.2045018007
281.,97.0522641509,281.,0.3177358491
282.,96.9185798093,282.,0.4514201907
283.,96.754750957,283.,-2.814750957
284.,96.5547357811,284.,-0.7347357811
285.,96.4914111305,285.,-0.6714111305
286.,96.4222505606,286.,-0.3622505606
287.,96.3982273664,287.,-0.3082273664
288.,96.3389508256,288.,-0.2789508256
289.,96.2853140501,289.,1.1446859499
290.,96.2295198079,290.,1.5904801921
291.,96.1408840517,291.,1.6791159483
292.,96.0980864799,292.,0.3119135201
293.,96.2123071870,293.,0.197692813
294.,96.3603089538,294.,0.0496910462
295.,96.5700185735,295.,-0.8400185735
296.,96.7281863689,296.,-0.9981863689
297.,96.903756144,297.,-0.333756144
298.,96.9308652518,298.,3.0191347482
299.,96.8838293053,299.,-0.2838293053
300.,96.8385419828,300.,-0.2385419828
301.,96.7174599651,301.,-0.1174599651
302.,96.7265831616,302.,-1.3365831616
303.,96.7162114657,303.,1.9837885343
304.,96.7424829554,304.,-0.7324829554
305.,96.7204233391,305.,-0.7104233391
306.,96.7272010691,306.,-0.7172010691
307.,96.7972812521,307.,-0.4972812521
308.,96.8680590727,308.,-0.5680590727
309.,96.7988008788,309.,-0.3088008788
310.,96.7424618904,310.,-0.6724618904
311.,96.6908002446,311.,0.7091997554
312.,96.7953428164,312.,1.4846571836
313.,96.8756476930,313.,1.404352307
314.,96.8019499875,314.,0.0980500125
315.,96.6040293098,315.,0.2959706902
316.,96.4651878865,316.,1.9848121135
317.,96.3983125326,317.,2.0516874674
318.,96.5803880043,318.,-0.7303880043
319.,96.6233710843,319.,-1.5233710843
320.,96.6691152687,320.,-1.6491152687
321.,96.6775598541,321.,-1.6575598541
322.,96.6333944144,322.,-1.9433944144
